f(Hz), Y
4.6e+14, 1.24332
4.6002e+14, 1.25538
4.6004e+14, 1.26857
4.6006e+14, 1.28361
4.6008e+14, 1.29981
4.601e+14, 1.31568
4.6012e+14, 1.33048
4.6014e+14, 1.34496
4.6016e+14, 1.3606
4.6018e+14, 1.37818
4.602e+14, 1.39699
4.6022e+14, 1.41553
4.6024e+14, 1.43304
4.6026e+14, 1.45025
4.6028e+14, 1.46866
4.603e+14, 1.48908
4.6032e+14, 1.5108
4.6034e+14, 1.53231
4.6036e+14, 1.55281
4.6038e+14, 1.57301
4.604e+14, 1.59444
4.6042e+14, 1.61792
4.6044e+14, 1.64275
4.6046e+14, 1.6674
4.6048e+14, 1.69103
4.60501e+14, 1.71433
4.60521e+14, 1.73884
4.60541e+14, 1.7654
4.60561e+14, 1.79331
4.60581e+14, 1.82101
4.60601e+14, 1.84761
4.60621e+14, 1.87378
4.60641e+14, 1.90107
4.60661e+14, 1.93032
4.60681e+14, 1.96084
4.60701e+14, 1.991
4.60721e+14, 2.01988
4.60741e+14, 2.04813
4.60761e+14, 2.07726
4.60781e+14, 2.10816
4.60801e+14, 2.14007
4.60821e+14, 2.17136
4.60841e+14, 2.20103
4.60861e+14, 2.22969
4.60881e+14, 2.25885
4.60901e+14, 2.28938
4.60921e+14, 2.32053
4.60941e+14, 2.3506
4.60961e+14, 2.37853
4.60981e+14, 2.40489
4.61001e+14, 2.43121
4.61021e+14, 2.45834
4.61041e+14, 2.48552
4.61061e+14, 2.51103
4.61081e+14, 2.53376
4.61101e+14, 2.55425
4.61121e+14, 2.57404
4.61141e+14, 2.59403
4.61161e+14, 2.61348
4.61181e+14, 2.63064
4.61201e+14, 2.6444
4.61221e+14, 2.65532
4.61241e+14, 2.66498
4.61261e+14, 2.67436
4.61281e+14, 2.68277
4.61301e+14, 2.68849
4.61321e+14, 2.69044
4.61341e+14, 2.68921
4.61361e+14, 2.68649
4.61381e+14, 2.68334
4.61401e+14, 2.67917
4.61421e+14, 2.67231
4.61441e+14, 2.6617
4.61461e+14, 2.64802
4.61481e+14, 2.63302
4.61502e+14, 2.61789
