NN	FPSA Rate(ebits/s)  MZI Rate(ebits/s) 
24	409.068040354241	356.530528965940
48	947.077676951369	610.606461477065
72	1501.29167494395	833.204344467601
96	2058.78659090571	1036.93889033402
120	2614.70226494817	1227.42290378846
144	3166.57877513831	1407.81079321127
168	3712.96942402738	1580.11025843682
192	4252.94123776071	1745.70402813732
216	4785.85392622790	1905.59812646411
240	5311.24815788185	2060.55477522429
264	5828.78351547046	2211.16979076660
288	6338.20152363833	2357.92061529285
312	6839.30237212761	2501.19764771485
336	7331.92960071869	2641.32551922637
360	7815.95965152689	2778.57802781747
384	8291.29452332921	2913.18891758206
408	8757.85647326829	3045.35984565708
432	9215.58411081703	3175.26639227705
456	9664.42946324682	3303.06267617618
480	10104.3557344232	3428.88495503690
504	10535.3355682925	3552.85447351058
528	10957.3496862412	3675.07974421310
552	11370.3858057757	3795.65839510984
576	11774.4377738607	3914.67868085344
600	12169.5048661180	4032.22073059396
624	12555.5912156372	4148.35758684899
648	12932.7053441092	4263.15607705377
672	13300.8597744807	4376.67754991232
696	13660.0707091004	4488.97850155336
720	14010.3577608644	4600.11111120149
744	14351.7437275395	4710.12370200230
768	14684.2544014667	4819.06113949928
792	15007.9184084017	4926.96517790027
816	15322.7670704568	5033.87476230593
840	15628.8342890493	5139.82629365363
864	15926.1564445017	5244.85386187760
888	16214.7723095321	5348.98945187525
912	16494.7229743393	5452.26312611815
936	16766.0517813715	5554.70318705671
960	17028.8042681710	5656.33632203885
984	17283.0281169402	5757.18773301929
1008	17528.7731096787	5857.28125294564
1032	17766.0910879140	5956.63945053161
1056	17995.0359161838	6055.28372474292
1080	18215.6634485531	6153.23439029997
1104	18428.0314975415	6250.51075514824
1128	18632.1998049244	6347.13119087863
1152	18828.2300139394	6443.11319681408
1176	19016.1856424929	6538.47345849536
1200	19196.1320570113	6633.22790114730
1224	19368.1364466277	6727.39173862174
1248	19532.2677974332	6820.97951832762
1272	19688.5968665568	6914.00516250691
1296	19837.1961558678	7006.48200622743
1320	19978.1398851197	7098.42283242408
1344	20111.5039643807	7189.83990425029
1368	20237.3659656139	7280.74499499513
1392	20355.8050932927	7371.14941578567
1416	20466.9021539502	7461.06404128759
1440	20570.7395245808	7550.49933355576
1464	20667.4011198232	7639.46536421642
1488	20756.9723578687	7727.97183512447
1512	20839.5401250511	7816.02809758571
1536	20915.1927390839	7903.64317034201
1560	20984.0199109221	7990.82575631674
1584	21046.1127052355	8077.58425831586
1608	21101.5634994893	8163.92679369833
1632	21150.4659416350	8249.86120814928
1656	21192.9149064239	8335.39508855825
1680	21229.0064503627	8420.53577515501
1704	21258.8377653369	8505.29037288184
1728	21282.5071309345	8589.66576211029
1752	21300.1138655086	8673.66860870355
1776	21311.7582760227	8757.30537353070
1800	21317.5416067297	8840.58232140720
1824	21317.5659867372	8923.50552955788
1848	21311.9343765191	9006.08089558214
1872	21300.7505134367	9088.31414501016
1896	21284.1188563362	9170.21083842618
1920	21262.1445292938	9251.77637823235
1944	21234.9332645811	9333.01601503795
1968	21202.5913449294	9413.93485371889
1992	21165.2255451698	9494.53785918264
2016	21122.9430733338	9574.82986179902
2040	21075.8515112944	9654.81556260748
2064	21024.0587550362	9734.49953823721
2088	20967.6729546382	9813.88624558021
2112	20906.8024540580	9892.98002625038
2136	20841.5557308059	9971.78511082678
2160	20772.0413355965	10050.3056228972
2184	20698.3678320662	10128.5455829053
2208	20620.6437366463	10206.5089118141
2232	20538.9774586786	10284.1994346156
2256	20453.4772408613	10361.6208836713
2280	20364.2511001107	10438.7769019162
2304	20271.4067689248	10515.6710458818
2328	20175.0516373317	10592.3067886386
2352	20075.2926955048	10668.6875225702
2376	19972.2364771243	10744.8165620574
2400	19865.9890035634	10820.6971460077
2424	19756.6557289748	10896.3324403173
2448	19644.3414863491	10971.7255402209
2472	19529.1504346169	11046.8794725202
2496	19411.1860068605	11121.7971977478
2520	19290.5508597012	11196.4816122403
2544	19167.3468239216	11270.9355501100
2568	19041.6748563817	11345.1617851450
2592	18913.6349932844	11419.1630326540
2616	18783.3263048386	11492.9419512163
2640	18650.8468513714	11566.5011443642
2664	18516.2936409296	11639.8431622008
2688	18379.7625884134	11712.9705029908
2712	18241.3484762779	11785.8856146325
2736	18101.1449168353	11858.5908961129
2760	17959.2443161872	11931.0886989123
2784	17815.7378398127	12003.3813283177
2808	17670.7153798328	12075.4710447535
2832	17524.2655239714	12147.3600649916
2856	17376.4755262249	12219.0505633731
2880	17227.4312792532	12290.5446729522
2904	17077.2172884974	12361.8444866379
2928	16925.9166480302	12432.9520582295
2952	16773.6110181375	12503.8694035049
2976	16620.3806046293	12574.5985011843
3000	16466.3041398729	12645.1412939297
3024	16311.4588655406	12715.4996892653
3048	16155.9205170578	12785.6755604969
3072	15999.7633097372	12855.6707475621
3096	15843.0599265819	12925.4870579184
3120	15685.8815077346	12995.1262673225
3144	15528.2976415524	13064.5901206324
3168	15370.3763572790	13133.8803325872
3192	15212.1841192886	13202.9985885441
3216	15053.7858228706	13271.9465451881
3240	14895.2447915222	13340.7258312298
3264	14736.6227757176	13409.3380480897
3288	14577.9799531154	13477.7847705259
3312	14419.3749301692	13546.0675472989
3336	14260.8647451017	13614.1879017599
3360	14102.5048722030	13682.1473324560
3384	13944.3492274121	13749.9473137096
3408	13786.4501751389	13817.5892961674
3432	13628.8585362852	13885.0747073341
3456	13471.6235974194	13952.4049521209
3480	13314.7931210616	14019.5814133635
3504	13158.4133570342	14086.6054522642
3528	13002.5290548326	14153.4784089362
3552	12847.1834769703	14220.2016028414
3576	12692.4184132532	14286.7763332324
3600	12538.2741959376	14353.2038796146
3624	12384.7897157251	14419.4855021815
3648	12232.0024385505	14485.6224421968
3672	12079.9484231160	14551.6159224229
3696	11928.6623391281	14617.4671475265
3720	11778.1774861914	14683.1773044361
3744	11628.5258133163	14748.7475627277
3768	11479.7379389970	14814.1790749645
3792	11331.8431718162	14879.4729771054
3816	11184.8695315361	14944.6303887739
3840	11038.8437706319	15009.6524136576
3864	10893.7913962306	15074.5401397840
3888	10749.7366924116	15139.2946398636
3912	10606.7027428348	15203.9169715916
3936	10464.7114536538	15268.4081779538
3960	10323.7835766816	15332.7692874990
3984	10183.9387327706	15397.0013146475
